taxonID,Scientific.Name.with.Author,Common.Name,Family,jenkins_model,habit
ARNO4,Artemisia nova A. Nelson,black sagebrush,Asteraceae,,shrub
ARTR2,Artemisia tridentata Nutt.,big sagebrush,Asteraceae,,shrub
ARTRT2,Artemisia tripartita Rydb. ssp. tripartita,threetip sagebrush,Asteraceae,,shrub
BABR,Baccharis brachyphylla A. Gray,shortleaf baccharis,Asteraceae,,shrub
CAOD3,Carphephorus odoratissimus (J.F. Gmel.) Herb.,vanillaleaf,Asteraceae,,forb/herb
CHSI,Chromolaena sinuata (Lam.) R.M. King & H. Rob.,wavyleaf thoroughwort,Asteraceae,,forb/herb
CHVI8,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush,Asteraceae,,forb/herb
DUSC,Dubautia scabra (DC.) D.D. Keck,rough dubautia,Asteraceae,,forb/herb
ENFA,Encelia farinosa A. Gray ex Torr.,brittlebush,Asteraceae,,forb/herb
ENFR,Encelia frutescens (A. Gray) A. Gray,button brittlebush,Asteraceae,,forb/herb
ERLA12,Ericameria laricifolia (A. Gray) Shinners,turpentine bush,Asteraceae,,forb/herb
ERNAN5,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush,Asteraceae,,forb/herb
GUMI,Gutierrezia microcephala (DC.) A. Gray,threadleaf snakeweed,Asteraceae,,forb/herb
GUSA2,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed,Asteraceae,,forb/herb
ISTE2,Isocoma tenuisecta Greene,burroweed,Asteraceae,,forb/herb
LAGR,Lactuca graminifolia Michx.,grassleaf lettuce,Asteraceae,,forb/herb
PAIN2,Parthenium incanum Kunth,mariola,Asteraceae,,forb/herb
PRENA,Prenanthes L.,rattlesnakeroot,Asteraceae,,forb/herb
PRSE,Prenanthes serpentaria Pursh,cankerweed,Asteraceae,,forb/herb
SEFL3,Senecio flaccidus Less.,threadleaf ragwort,Asteraceae,,forb/herb
TECA2,Tetradymia canescens DC.,spineless horsebrush,Asteraceae,,forb/herb
TETRA3,Tetradymia DC.,horsebrush,Asteraceae,,forb/herb
TEGL,Tetradymia glabrata Torr. & A. Gray,littleleaf horsebrush,Asteraceae,,forb/herb
VEAR2,Verbesina aristata (Elliott) A. Heller,coastal plain crownbeard,Asteraceae,,forb/herb
WEFR,Wedelia fruticosa Jacq.,coastal plain creepingoxeye,Asteraceae,,forb/herb
ZIAC,Zinnia acerosa (DC.) A. Gray,desert zinnia,Asteraceae,,forb/herb
BETH,Berberis thunbergii DC.,Japanese barberry,Berberidaceae,,shrub
MANE2,Mahonia nervosa (Pursh) Nutt.,Cascade barberry,Berberidaceae,,shrub
ALINT,Alnus incana,thinleaf alder,Betulaceae,aspen/alder/cottonwood/willow,tree
ALIN2,Alnus incana (L.) Moench ,gray alder,Betulaceae,aspen/alder/cottonwood/willow,tree
ALINR,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder,Betulaceae,aspen/alder/cottonwood/willow,tree
ALRU2,Alnus rubra Bong.,red alder,Betulaceae,aspen/alder/cottonwood/willow,tree
ALVI5,Alnus viridis,green alder,Betulaceae,aspen/alder/cottonwood/willow,tree
BECAC,Betula Ã—caerulea Blanch. var. caerulea,blue birch,Betulaceae,soft maple/birch,tree
BEAL2,Betula alleghaniensis Britton,yellow birch,Betulaceae,soft maple/birch,tree
BEGL,Betula glandulosa Michx.,resin birch,Betulaceae,soft maple/birch,tree
BETUL,Betula L.,birch,Betulaceae,soft maple/birch,tree
BELE,Betula lenta L.,sweet birch,Betulaceae,soft maple/birch,tree
BENE4,Betula neoalaskana Sarg.,resin birch,Betulaceae,soft maple/birch,tree
BENI,Betula nigra L.,river birch,Betulaceae,soft maple/birch,tree
BEOC2,Betula occidentalis Hook.,water birch,Betulaceae,soft maple/birch,tree
BEPA,Betula papyrifera Marshall,paper birch,Betulaceae,soft maple/birch,tree
BEPAC2,Betula papyrifera Marshall var. cordifolia (Regel) Fernald,mountain paper birch,Betulaceae,soft maple/birch,tree
BEPAP,Betula papyrifera Marshall var. papyrifera,paper birch,Betulaceae,soft maple/birch,tree
BEPO,Betula populifolia Marshall,gray birch,Betulaceae,soft maple/birch,tree
BEPU4,Betula pumila L.,bog birch,Betulaceae,soft maple/birch,tree
CACA18,Carpinus caroliniana Walter,American hornbeam,Betulaceae,mixed hardwood,tree
CACAV,Carpinus caroliniana Walter ssp. virginiana (Marshall) Furlow,American hornbeam,Betulaceae,mixed hardwood,tree
COAM3,Corylus americana Walter,American hazelnut,Betulaceae,woodland,tree
COCO6,Corylus cornuta Marshall,beaked hazelnut,Betulaceae,woodland,tree
COCOC,Corylus cornuta Marshall var. californica (A. DC.) Sharp,California hazelnut,Betulaceae,woodland,tree
COCOC2,Corylus cornuta Marshall var. cornuta,beaked hazelnut,Betulaceae,woodland,tree
OSVI,Ostrya virginiana (Mill.) K. Koch,hophornbeam,Betulaceae,mixed hardwood,tree
BICA,Bignonia capreolata L.,crossvine,Bignoniaceae,,vine
BIGNO,Bignonia L.,bignonia,Bignoniaceae,,vine
CARA2,Campsis radicans (L.) Seem. ex Bureau,trumpet creeper,Bignoniaceae,,vine
DILA10,Distictis lactiflora (Vahl) DC.,liana fragante,Bignoniaceae,,vine
MAUN3,Macfadyena unguis-cati (L.) A.H. Gentry,catclawvine,Bignoniaceae,,vine
TAHE,Tabebuia heterophylla (DC.) Britton,white cedar,Bignoniaceae,woodland,shrub/tree
SACY3,Sadleria cyatheoides Kaulf.,amaumau fern,Blechnaceae,,shrub
SADLE,Sadleria Kaulf.,sadleria,Blechnaceae,,shrub
SAPA11,Sadleria pallida Hook. & Arn.,ama'u,Blechnaceae,,shrub
SASO2,Sadleria souleyetiana (Gaudich.) T. Moore,longleaf plume fern,Blechnaceae,,shrub
BOURR,Bourreria P. Br.,strongbark,Boraginaceae,woodland,shrub/tree
BOSU2,Bourreria succulenta Jacq.,bodywood,Boraginaceae,woodland,shrub/tree
COCO5,Cordia collococca L.,red manjack,Boraginaceae,woodland,shrub/tree
HAVI2,Hackelia virginiana (L.) I.M. Johnst.,beggarslice,Boraginaceae,woodland,shrub/tree
ROAC2,Rochefortia acanthophora (DC.) Griseb.,greenheart ebony,Boraginaceae,woodland,shrub/tree
TOVO,Tournefortia volubilis L.,twining soldierbush,Boraginaceae,woodland,shrub/tree
BUSI,Bursera simaruba (L.) Sarg.,gumbo limbo,Burseraceae,,shrub
BUMI6,Buxbaumia minakatae Okam.,buxbaumia moss,Buxbaumiaceae,,nonvascular
CACA,Cabomba caroliniana A. Gray,Carolina fanwort,Cabombaceae,,forb/herb
CAGI10,Carnegiea gigantea (Engelm.) Britton & Rose,saguaro,Cactaceae,,cactus
COROR,Coryphantha robustispina (Schott ex Engelm.) Britton & Rose ssp. robustispina,long-tubercle beehive cactus,Cactaceae,,cactus
COROS,Coryphantha robustispina (Schott ex Engelm.) Britton & Rose ssp. scheeri (Muehlenpf.) N.P. Taylor,Scheer's beehive cactus,Cactaceae,,cactus
CYLIN2,Cylindropuntia (Engelm.) Kreuzinger,cholla,Cactaceae,,cactus
CYFU10,Cylindropuntia fulgida (Engelm.) F.M. Knuth,jumping cholla,Cactaceae,,cactus
CYIM2,Cylindropuntia imbricata (Haw.) F.M. Knuth,tree cholla,Cactaceae,,cactus
CYLE8,Cylindropuntia leptocaulis (DC.) F.M. Knuth,Christmas cactus,Cactaceae,,cactus
CYSP8,Cylindropuntia spinosior (Engelm.) F.M. Knuth,walkingstick cactus,Cactaceae,,cactus
ECFA,Echinocereus fasciculatus (Engelm. ex B.D. Jacks.) L.D. Benson,pinkflower hedgehog cactus,Cactaceae,,cactus
ECFE,Echinocereus fendleri (Engelm.) Sencke ex J.N. Haage,pinkflower hedgehog cactus,Cactaceae,,cactus
FEWI,Ferocactus wislizeni (Engelm.) Britton & Rose,candy barrelcactus,Cactaceae,,cactus
HYTR2,Hylocereus trigonus (Haw.) Saff.,strawberry-pear,Cactaceae,,cactus
HYUN3,Hylocereus undatus (Haw.) Britton & Rose,nightblooming cactus,Cactaceae,,cactus
LEQU,Leptocereus quadricostatus (Bello) Britton & Rose,pitahaya,Cactaceae,,cactus
MAGR9,Mammillaria grahamii Engelm.,Graham's nipple cactus,Cactaceae,,cactus
OPEN3,Opuntia engelmannii Salm-Dyck ex Engelm.,cactus apple,Cactaceae,,cactus
OPMA8,Opuntia macrocentra Engelm.,purple pricklypear,Cactaceae,,cactus
OPUNT,Opuntia Mill.,pricklypear,Cactaceae,,cactus
OPPH,Opuntia phaeacantha Engelm.,tulip pricklypear,Cactaceae,,cactus
PEGR3,Peniocereus greggii (Engelm.) Britton & Rose,nightblooming cereus,Cactaceae,,cactus
PIRO6,Pilosocereus royenii (L.) Byles & Rowley,Royen's tree cactus,Cactaceae,,cactus
CAFL22,Calycanthus floridus L.,eastern sweetshrub,Calycanthaceae,,shrub
CLERM,Clermontia Gaudich.,clermontia,Campanulaceae,woodland,shrub/tree
CLMO5,Clermontia montis-loa Rock,Mauna Loa clermontia,Campanulaceae,woodland,shrub/tree
CAWI,Canella winterana (L.) Gaertn.,wild cinnamon,Canellaceae,,shrub
CACY,Capparis cynophallophora L.,Jamaican caper,Capparaceae,,shrub
CAFL2,Capparis flexuosa (L.) L.,falseteeth,Capparaceae,,shrub
CAHA9,Capparis hastata Jacq.,broadleaf caper,Capparaceae,,shrub
CAIN5,Capparis indica (L.) Druce,linguam,Capparaceae,,shrub
LOCA7,Lonicera canadensis W. Bartram ex Marshall,American fly honeysuckle,Caprifoliaceae,,shrub
LOIN4,Lonicera interrupta Benth.,chaparral honeysuckle,Caprifoliaceae,,shrub
LOJA,Lonicera japonica Thunb.,Japanese honeysuckle,Caprifoliaceae,,shrub
LONIC,Lonicera L.,honeysuckle,Caprifoliaceae,,shrub
LOMA6,Lonicera maackii (Rupr.) Herder,Amur honeysuckle,Caprifoliaceae,,shrub
LOMO2,Lonicera morrowii A. Gray,Morrow's honeysuckle,Caprifoliaceae,,shrub
SAMBU,Sambucus L.,elderberry,Caprifoliaceae,,shrub
SANI4,Sambucus nigra L.,black elderberry,Caprifoliaceae,,shrub
SANIC4,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry,Caprifoliaceae,,shrub
SANIC5,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,blue elderberry,Caprifoliaceae,,shrub
SARA2,Sambucus racemosa L.,red elderberry,Caprifoliaceae,,shrub
SYAL,Symphoricarpos albus (L.) S.F. Blake,common snowberry,Caprifoliaceae,,shrub
SYOC,Symphoricarpos occidentalis Hook.,western snowberry,Caprifoliaceae,,shrub
SYOR,Symphoricarpos orbiculatus Moench,coralberry,Caprifoliaceae,,shrub
VIAC,Viburnum acerifolium L.,mapleleaf viburnum,Caprifoliaceae,,shrub
VIBUR,Viburnum L.,viburnum,Caprifoliaceae,,shrub
VILA,Viburnum lantana L.,wayfaringtree,Caprifoliaceae,,shrub
VILA11,Viburnum lantanoides Michx.,hobblebush,Caprifoliaceae,,shrub
VINU,Viburnum nudum L.,possumhaw,Caprifoliaceae,,shrub
VINUC,Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray,withe-rod,Caprifoliaceae,,shrub
VIPR,Viburnum prunifolium L.,blackhaw,Caprifoliaceae,,shrub
VIRU,Viburnum rufidulum Raf.,rusty blackhaw,Caprifoliaceae,,shrub
CAXY,Cassine xylocarpa Vent.,marbletree,Celastraceae,,shrub
CEOR7,Celastrus orbiculatus Thunb.,Oriental bittersweet,Celastraceae,,vine
CROSS,Crossopetalum P. Br.,crossopetalum,Celastraceae,,shrub
CRRH,Crossopetalum rhacoma Crantz,maidenberry,Celastraceae,,shrub
EUAM9,Euonymus americanus L.,bursting-heart,Celastraceae,,shrub
EUAT5,Euonymus atropurpureus Jacq.,burningbush,Celastraceae,,shrub
EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper,Celastraceae,,shrub
MAPO5,Maytenus ponceana Britton,ponce mayten,Celastraceae,,shrub
PESA3,Perrottetia sandwicensis A. Gray,olomea,Celastraceae,,shrub
SCFR,Schaefferia frutescens Jacq.,Florida boxwood,Celastraceae,,shrub
ATCA2,Atriplex canescens (Pursh) Nutt.,fourwing saltbush,Chenopodiaceae,,shrub
ATCO,Atriplex confertifolia (Torr. & FrÃ©m.) S. Watson,shadscale saltbush,Chenopodiaceae,,shrub
KRLA2,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat,Chenopodiaceae,,shrub
SAVE4,Sarcobatus vermiculatus (Hook.) Torr.,greasewood,Chenopodiaceae,,shrub
CLAC3,Clethra acuminata Michx.,mountain sweetpepperbush,Clethraceae,,shrub
CLETH,Clethra L.,sweetpepperbush,Clethraceae,,shrub
HYBR3,Hypericum brachyphyllum (Spach) Steud.,coastal plain St. Johnswort,Clusiaceae,,shrub
BUBU,Bucida buceras L.,gregorywood,Combretaceae,woodland,tree
IPST2,Ipomoea steudelii Millsp.,Steudel's morning-glory,Convolvulaceae,,vine
JACQU,Jacquemontia Choisy,clustervine,Convolvulaceae,,vine
JACU3,Jacquemontia cumanensis (Kunth) Kuntze,thicket clustervine,Convolvulaceae,,vine
COAL2,Cornus alternifolia L. f.,alternateleaf dogwood,Cornaceae,mixed hardwood,tree
COAM2,Cornus amomum Mill.,silky dogwood,Cornaceae,mixed hardwood,tree
CODR,Cornus drummondii C.A. Mey.,roughleaf dogwood,Cornaceae,mixed hardwood,tree
COFL2,Cornus florida L.,flowering dogwood,Cornaceae,mixed hardwood,tree
COFO,Cornus foemina Mill.,stiff dogwood,Cornaceae,mixed hardwood,tree
CORNU,Cornus L.,dogwood,Cornaceae,mixed hardwood,tree
CONU4,Cornus nuttallii Audubon ex Torr. & A. Gray,Pacific dogwood,Cornaceae,mixed hardwood,tree
COSE16,Cornus sericea L.,redosier dogwood,Cornaceae,mixed hardwood,tree
NYAQ2,Nyssa aquatica L.,water tupelo,Cornaceae,mixed hardwood,tree
NYBI,Nyssa biflora Walter,swamp tupelo,Cornaceae,mixed hardwood,tree
NYSSA,Nyssa L.,tupelo,Cornaceae,mixed hardwood,tree
NYSY,Nyssa sylvatica Marshall,blackgum,Cornaceae,mixed hardwood,tree
CADE27,Calocedrus decurrens (Torr.) Florin,incense cedar,Cupressaceae,cedar/larch,tree
JUCO6,Juniperus communis L.,common juniper,Cupressaceae,cedar/larch,tree
JUCOD,Juniperus communis L. var. depressa Pursh,common juniper,Cupressaceae,cedar/larch,tree
JUOS,Juniperus osteosperma (Torr.) Little,Utah juniper,Cupressaceae,cedar/larch,tree
JUSC2,Juniperus scopulorum Sarg.,Rocky Mountain juniper,Cupressaceae,cedar/larch,tree
JUVI,Juniperus virginiana L.,eastern redcedar,Cupressaceae,cedar/larch,tree
JUVIV,Juniperus virginiana L. var. virginiana,eastern redcedar,Cupressaceae,cedar/larch,tree
TADI2,Taxodium distichum (L.) Rich.,bald cypress,Cupressaceae,cedar/larch,tree
THOC2,Thuja occidentalis L.,arborvitae,Cupressaceae,cedar/larch,tree
THPL,Thuja plicata Donn ex D. Don,western redcedar,Cupressaceae,cedar/larch,tree
CADE8,Carex densa (L.H. Bailey) L.H. Bailey,dense sedge,Cyperaceae,,shrub
CIGL,Cibotium glaucum (Sm.) Hook. & Arn.,hapu'u,Dicksoniaceae,,tree fern
CIBOT,Cibotium Kaulf.,manfern,Dicksoniaceae,,tree fern
CIME8,Cibotium menziesii Hook.,hapu'u li,Dicksoniaceae,,tree fern
DIOSP,Diospyros L.,diospyros,Ebenaceae,mixed hardwood,tree
DIVI5,Diospyros virginiana L.,common persimmon,Ebenaceae,mixed hardwood,tree
ELAN,Elaeagnus angustifolia L.,Russian olive,Elaeagnaceae,woodland,shrub/tree
ELCO,Elaeagnus commutata Bernh. ex Rydb.,silverberry,Elaeagnaceae,woodland,shrub/tree
ELUM,Elaeagnus umbellata Thunb.,autumn olive,Elaeagnaceae,woodland,shrub/tree
SHAR,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry,Elaeagnaceae,,shrub
SHCA,Shepherdia canadensis (L.) Nutt.,russet buffaloberry,Elaeagnaceae,,shrub
CEER3,Ceratiola ericoides Michx.,sand heath,Empetraceae,,shrub
STTA,Styphelia tameiameiae (Cham. & Schltdl.) F. Muell.,pukiawe,Epacridaceae,,shrub
EPTR,Ephedra trifurca Torr. ex S. Watson,longleaf jointfir,Ephedraceae,,tree
EPVI,Ephedra viridis Coville,mormon tea,Ephedraceae,,tree
ARCO3,Arctostaphylos columbiana Piper,hairy manzanita,Ericaceae,woodland,shrub/tree
ARNE,Arctostaphylos nevadensis A. Gray,pinemat manzanita,Ericaceae,woodland,shrub/tree
ARPA6,Arctostaphylos patula Greene,greenleaf manzanita,Ericaceae,woodland,shrub/tree
ARVIM,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,Mariposa manzanita,Ericaceae,woodland,shrub/tree
BERA3,Bejaria racemosa Vent.,flyweed,Ericaceae,,shrub
GASH,Gaultheria shallon Pursh,salal,Ericaceae,woodland,shrub/tree
GABA,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry,Ericaceae,woodland,shrub/tree
GADU,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry,Ericaceae,woodland,shrub/tree
GAFR2,Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,blue huckleberry,Ericaceae,woodland,shrub/tree
GAUR,Gaylussacia ursina (M.A. Curtis) Torr. & A. Gray ex A. Gray,bear huckleberry,Ericaceae,woodland,shrub/tree
KALMI,Kalmia L.,laurel,Ericaceae,woodland,shrub/tree
KALA,Kalmia latifolia L.,mountain laurel,Ericaceae,woodland,shrub/tree
LEGR,Ledum groenlandicum Oeder,bog Labrador tea,Ericaceae,,shrub
LEPA11,Ledum palustre L.,marsh Labrador tea,Ericaceae,,shrub
LYFE,Lyonia ferruginea (Walter) Nutt.,rusty staggerbush,Ericaceae,,shrub
LYLI,Lyonia ligustrina (L.) DC.,maleberry,Ericaceae,,shrub
LYLIL,Lyonia ligustrina (L.) DC. var. ligustrina,maleberry,Ericaceae,,shrub
LYLU3,Lyonia lucida (Lam.) K. Koch,fetterbush lyonia,Ericaceae,,shrub
LYONI,Lyonia Nutt.,staggerbush,Ericaceae,,shrub
MEFE,Menziesia ferruginea Sm.,rusty menziesia,Ericaceae,woodland,shrub/tree
OXAR,Oxydendrum arboreum (L.) DC.,sourwood,Ericaceae,mixed hardwood,tree
RHCA4,Rhododendron calendulaceum (Michx.) Torr.,flame azalea,Ericaceae,woodland,shrub/tree
RHCA7,Rhododendron canescens (Michx.) Sweet,mountain azalea,Ericaceae,woodland,shrub/tree
RHODO,Rhododendron L.,rhododendron,Ericaceae,woodland,shrub/tree
RHMA4,Rhododendron maximum L.,great laurel,Ericaceae,woodland,shrub/tree
RHPE4,Rhododendron periclymenoides (Michx.) Shinners,pink azalea,Ericaceae,,shrub
VAAR,Vaccinium arboreum Marshall,farkleberry,Ericaceae,,shrub
VACA8,Vaccinium calycinum Sm.,ohelo kau la'au,Ericaceae,,shrub
VACO,Vaccinium corymbosum L.,highbush blueberry,Ericaceae,,shrub
VAEL,Vaccinium elliottii Chapm.,Elliott's blueberry,Ericaceae,,shrub
VAFU,Vaccinium fuscatum Aiton,black highbush blueberry,Ericaceae,,shrub
VACCI,Vaccinium L.,blueberry,Ericaceae,,shrub
VAME,Vaccinium membranaceum Douglas ex Torr.,thinleaf huckleberry,Ericaceae,,shrub
VAMY3,Vaccinium myrsinites Lam.,shiny blueberry,Ericaceae,,shrub
VAMY,Vaccinium myrtilloides Michx.,velvetleaf huckleberry,Ericaceae,,shrub
VAOV,Vaccinium ovalifolium Sm.,oval-leaf blueberry,Ericaceae,,shrub
VAPA4,Vaccinium pallidum Aiton,Blue Ridge blueberry,Ericaceae,,shrub
VAPA,Vaccinium parvifolium Sm.,red huckleberry,Ericaceae,,shrub
VARE,Vaccinium reticulatum Sm.,ohelo 'ai,Ericaceae,,shrub
VAST,Vaccinium stamineum L.,deerberry,Ericaceae,,shrub
VAUL,Vaccinium uliginosum L.,bog blueberry,Ericaceae,,shrub
VAVI2,Vaccinium virgatum Aiton,smallflower blueberry,Ericaceae,,shrub
ERAR17,Erythroxylum areolatum L.,swamp-redwood,Erythroxylaceae,woodland,shrub/tree
ERBR11,Erythroxylum brevipes DC.,brisselet,Erythroxylaceae,woodland,shrub/tree
ERRO3,Erythroxylum rotundifolium Lunan,ratwood,Erythroxylaceae,woodland,shrub/tree
ADRI,Adelia ricinella L.,wild lime,Euphorbiaceae,,shrub
ARFA,Argythamnia fasciculata (Vahl ex A. Juss.) MÃ¼ll. Arg.,broom silverbush,Euphorbiaceae,,shrub
BEDI2,Bernardia dichotoma (Willd.) MÃ¼ll. Arg.,Caribbean myrtlecroton,Euphorbiaceae,,shrub
CRBE4,Croton betulinus Vahl,beechleaf croton,Euphorbiaceae,,shrub
CRDI8,Croton discolor Willd.,lechecillo,Euphorbiaceae,,shrub
CRFL23,Croton flavens L.,yellow balsam,Euphorbiaceae,,shrub
CROTO,Croton L.,croton,Euphorbiaceae,,shrub
CRLU2,Croton lucidus L.,firebush,Euphorbiaceae,,shrub
DIFR6,Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,Gulf Sebastian-bush,Euphorbiaceae,,shrub
GYLU,Gymnanthes lucida Sw.,oysterwood,Euphorbiaceae,,shrub/tree
PHEP,Phyllanthus epiphyllanthus L.,swordbush,Euphorbiaceae,,shrub
SASE6,Savia sessiliflora (Sw.) Willd.,amansa guapo,Euphorbiaceae,,shrub
TRSE6,Triadica sebifera (L.) Small,Chinese tallow,Euphorbiaceae,,shrub
AMFR,Amorpha fruticosa,false indigo bush,Fabaceae,,shrub
ANIN,Andira inermis (W. Wright) Kunth ex DC.,cabbagebark tree,Fabaceae,,shrub
CECA4,Cercis canadensis L.,eastern redbud,Fabaceae,mixed hardwood,tree
CECAC,Cercis canadensis L. var. canadensis,eastern redbud,Fabaceae,mixed hardwood,tree
