Common name,Genus,Species,"FIA
Code",Wood Specific gravity (green volume basis dry weight),,"Avg. moisture content of wood as a
% of oven- dry weight","Avg. moisture content of bark as a
% of oven- dry weight",Wood Specific gravity (12 pct MC volume basis dry weight),
Fir spp.,Abies,spp.,10,0.36,0.49,84.00,62.00,0.38,11.8
Pacific silver fir,Abies,amabilis,11,0.4,0.44,70.00,64.00,0.43,14
Balsam fir,Abies,balsamea,12,0.33,0.4,119.00,100.00,0.35,12
Santa Lucia or bristlecone fir,Abies,bracteata,14,0.36,0.49,84.00,62.00,0.38,11.8
White fir,Abies,concolor,15,0.37,0.56,104.00,63.00,0.39,12
Fraser fir,Abies,fraseri,16,0.36,0.49,84.00,62.00,0.38,11.8
Grand fir,Abies,grandis,17,0.35,0.57,106.00,63.00,0.37,12
Corkbark fir,Abies,lasiocarpa var. arizonica,18,0.36,0.49,84.00,62.00,0.38,11.8
Subalpine fir,Abies,lasiocarpa,19,0.31,0.5,45.00,63.00,0.32,10.8
California red fir,Abies,magnifica,20,0.36,0.44,114.00,20.00,0.38,10.8
Shasta red fir,Abies,shastensis,21,0.36,0.49,84.00,62.00,0.38,11.8
Noble fir,Abies,procera,22,0.37,0.49,30.00,64.00,0.39,10.8
White-cedar spp.,Chamaecyparis,spp.,40,0.37,0.4,77.00,92.00,0.4,11.6
Port-Orford-cedar,Chamaecyparis,lawsoniana,41,0.39,0.4,74.00,64.00,0.43,11.6
Alaska yellow-cedar,Chamaecyparis,nootkatensis,42,0.42,0.4,72.00,112.00,0.44,11.6
Atlantic white-cedar,Chamaecyparis,thyoides,43,0.31,0.4,86.00,100.00,0.32,11.6
Cypress,Cupressus,spp.,50,0.41,0.42,74.00,71.00,0.44,14.3
Arizona cypress,Cupressus,arizonica,51,0.41,0.42,74.00,71.00,0.44,14.3
Baker or Modoc cypress,Cupressus,bakeri,52,0.41,0.42,74.00,71.00,0.44,14.3
Tecate cypress,Cupressus,forbesii,53,0.41,0.42,74.00,71.00,0.44,14.3
Monterey cypress,Cupressus,macrocarpa,54,0.41,0.42,74.00,71.00,0.44,14.3
Sargent’s cypress,Cupressus,sargentii,55,0.41,0.42,74.00,71.00,0.44,14.3
MacNab’s cypress,Cupressus,macnabiana,56,0.41,0.42,74.00,71.00,0.44,14.3
Redcedar/juniper spp.,Juniperus,spp.,57,0.45,0.4,36.00,60.00,0.47,12
Pinchot juniper,Juniperus,pinchotii,58,0.45,0.4,36.00,60.00,0.47,12
Redberry juniper,Juniperus,coahuilensis,59,0.45,0.4,36.00,60.00,0.47,12
Drooping juniper,Juniperus,flaccida,60,0.45,0.4,36.00,60.00,0.47,12
Ashe juniper,Juniperus,ashei,61,0.45,0.4,36.00,60.00,0.47,12
California juniper,Juniperus,californica,62,0.45,0.4,36.00,60.00,0.47,12
Alligator juniper,Juniperus,deppeana,63,0.48,0.4,34.00,60.00,0.51,12
Western juniper,Juniperus,occidentalis,64,0.45,0.4,36.00,60.00,0.47,12
Utah juniper,Juniperus,osteosperma,65,0.68,0.4,35.00,60.00,0.72,12
Rocky Mountain juniper,Juniperus,scopulorum,66,0.45,0.4,36.00,60.00,0.47,12
Southern redcedar,Juniperus,virginiana,67,0.42,0.4,41.00,60.00,0.44,12
Eastern redcedar,Juniperus,virginiana,68,0.44,0.4,35.00,60.00,0.47,12
Oneseed juniper,Juniperus,monosperma,69,0.45,0.4,36.00,60.00,0.47,12
Larch spp.,Larix,spp.,70,0.49,0.32,57.00,82.00,0.53,14
Tamarack (native),Larix,laricina,71,0.49,0.3,54.00,98.00,0.53,14
Subalpine larch,Larix,lyallii,72,0.49,0.32,57.00,82.00,0.53,14
Western larch,Larix,occidentalis,73,0.48,0.33,60.00,65.00,0.52,14
Incense-cedar,Calocedrus,decurrens,81,0.35,0.25,106.00,28.00,0.37,17
Spruce spp.,Picea,spp.,90,0.36,0.44,59.00,81.00,0.39,12.6
Norway spruce,Picea,abies,91,0.36,0.44,59.00,81.00,0.39,12.6
Brewer spruce,Picea,breweriana,92,0.36,0.44,59.00,81.00,0.39,12.6
Engelmann spruce,Picea,engelmannii,93,0.33,0.51,89.00,79.00,0.35,11.2
White spruce,Picea,glauca,94,0.37,0.39,52.00,77.00,0.4,13
Black spruce,Picea,mariana,95,0.38,0.42,48.00,91.00,0.46,13
Blue spruce,Picea,pungens,96,0.36,0.44,59.00,81.00,0.39,12.6
Red spruce,Picea,rubens,97,0.37,0.32,47.00,75.00,0.4,13
Sitka spruce,Picea,sitchensis,98,0.33,0.55,60.00,81.00,0.36,12.5
Pine spp.,Pinus,spp.,100,0.43,0.4,76.00,68.00,0.47,16.1
Whitebark pine,Pinus,albicaulis,101,0.43,0.4,76.00,68.00,0.47,16.1
Rocky Mountain bristlecone pine,Pinus,aristata,102,0.43,0.4,76.00,68.00,0.47,16.1
Knobcone pine,Pinus,attenuata,103,0.39,0.38,105.00,69.00,0.42,12
Foxtail pine,Pinus,balfouriana,104,0.43,0.4,76.00,68.00,0.47,16.1
Jack pine,Pinus,banksiana,105,0.4,0.41,100.00,92.00,0.43,14
Common or two-needle pinyon,Pinus,edulis,106,0.5,0.4,28.00,60.00,0.57,13.4
Sand pine,Pinus,clausa,107,0.46,0.45,32.00,89.00,0.48,15
Lodgepole pine,Pinus,contorta,108,0.38,0.38,64.00,64.00,0.41,#VALUE!
Coulter pine,Pinus,coulteri,109,0.43,0.4,76.00,68.00,0.47,16.1
Shortleaf pine,Pinus,echinata,110,0.47,0.35,77.00,60.00,0.51,16
Slash pine,Pinus,elliottii,111,0.54,0.35,72.00,88.00,0.59,18
Apache pine,Pinus,engelmannii,112,0.43,0.4,76.00,68.00,0.47,16.1
Limber pine,Pinus,flexilis,113,0.37,0.5,95.00,12.00,0.42,13.4
Southwestern white pine,Pinus,strobiformis,114,0.43,0.4,76.00,68.00,0.47,16.1
Spruce pine,Pinus,glabra,115,0.41,0.45,76.00,25.00,0.44,13.4
Jeffrey pine,Pinus,jeffreyi,116,0.37,0.36,104.00,34.00,0.42,25.6
Sugar pine,Pinus,lambertiana,117,0.34,0.35,130.00,88.00,0.36,25.6
Chihuahua pine,Pinus,leiophylla,118,0.43,0.4,76.00,68.00,0.47,16.1
Western white pine,Pinus,monticola,119,0.36,0.47,56.00,84.00,0.38,12.6
Bishop pine,Pinus,muricata,120,0.45,0.45,60.00,42.00,0.49,22
Longleaf pine,Pinus,palustris,121,0.54,0.45,63.00,89.00,0.59,14
Ponderosa pine,Pinus,ponderosa,122,0.38,0.35,90.00,33.00,0.4,25.6
Table Mountain pine,Pinus,pungens,123,0.49,0.45,77.00,60.00,0.52,13.4
Monterey pine,Pinus,radiata,124,0.4,0.4,100.00,60.00,0.53,13.4
Red pine,Pinus,resinosa,125,0.41,0.27,64.00,90.00,0.46,16
Pitch pine,Pinus,rigida,126,0.47,0.34,70.00,89.00,0.52,13.4
Gray or California foothill pine,Pinus,sabiniana,127,0.4,0.4,80.00,60.00,0.43,22
Pond pine,Pinus,serotina,128,0.51,0.33,60.00,94.00,0.56,13.4
Eastern white pine,Pinus,strobus,129,0.34,0.47,65.00,70.00,0.35,16
Scotch pine,Pinus,sylvestris,130,0.43,0.4,76.00,68.00,0.47,16.1
Loblolly pine,Pinus,taeda,131,0.47,0.33,81.00,99.00,0.51,16.6
Virginia pine,Pinus,virginiana,132,0.45,0.54,78.00,90.00,0.48,13.4
Singleleaf pinyon,Pinus,monophylla,133,0.43,0.4,76.00,68.00,0.47,16.1
Border pinyon,Pinus,discolor,134,0.43,0.4,76.00,68.00,0.47,16.1
Arizona pine,Pinus,arizonica,135,0.43,0.4,76.00,68.00,0.47,16.1
Austrian pine,Pinus,nigra,136,0.43,0.4,76.00,68.00,0.47,16.1
Washoe pine,Pinus,washoensis,137,0.43,0.4,76.00,68.00,0.47,16.1
Four-leaf or Parry pinyon pine,Pinus,quadrifolia,138,0.43,0.4,76.00,68.00,0.47,16.1
Torrey pine,Pinus,torreyana,139,0.43,0.4,76.00,68.00,0.47,16.1
Mexican pinyon pine,Pinus,cembroides,140,0.43,0.4,76.00,68.00,0.47,16.1
Papershell pinyon pine,Pinus,remota,141,0.43,0.4,76.00,68.00,0.47,16.1
Great Basin bristlecone pine,Pinus,longaeva,142,0.43,0.4,76.00,68.00,0.47,16.1
Arizona pinyon pine,Pinus,monophylla,143,0.43,0.4,76.00,68.00,0.47,16.1
Honduras pine,Pinus,elliottii,144,0.43,0.4,76.00,68.00,0.47,16.1
Douglas-fir spp.,Pseudotsuga,spp.,200,0.45,0.44,35.00,89.00,0.48,17.3
Bigcone Douglas-fir,Pseudotsuga,macrocarpa,201,0.45,0.44,35.00,89.00,0.48,17.3
Douglas-fir,Pseudotsuga,menziesii,202,0.45,0.44,35.00,89.00,0.48,17.3
Redwood,Sequoia,sempervirens,211,0.36,0.43,123.00,16.00,0.38,18
Giant sequoia,Sequoiadendron,giganteum,212,0.34,0.34,178.00,18.00,0.38,18
Baldcypress spp.,Taxodium,spp.,220,0.42,0.5,95.00,99.00,0.46,20
Baldcypress,Taxodium,distichum,221,0.42,0.5,95.00,99.00,0.46,20
Pondcypress,Taxodium,ascendens,222,0.42,0.5,95.00,99.00,0.46,20
Montezuma baldcypress,Taxodium,mucronatum,223,0.42,0.5,95.00,99.00,0.46,20
Yew spp.,Taxus,spp.,230,0.6,0.59,47.00,98.00,0.67,4
Pacific yew,Taxus,brevifolia,231,0.6,0.59,47.00,98.00,0.67,4.00
Florida yew,Taxus,floridana,232,0.6,0.59,47.00,98.00,0.67,4
Thuja spp.,Thuja,spp.,240,0.3,0.4,70.00,74.00,0.32,12.5
Northern white-cedar,Thuja,occidentalis,241,0.29,0.42,99.00,91.00,0.31,14
Western redcedar,Thuja,plicata,242,0.31,0.37,40.00,56.00,0.32,10.6
Torreya (nutmeg) spp.,Torreya,spp.,250,0.41,0.42,74.00,71.00,0.44,14.3
California torreya (nutmeg),Torreya,californica,251,0.41,0.42,74.00,71.00,0.44,14.3
Florida torreya (nutmeg),Torreya,taxifolia,252,0.41,0.42,74.00,71.00,0.44,14.3
Hemlock spp.,Tsuga,spp.,260,0.41,0.46,78.00,98.00,0.43,16.2
Eastern hemlock,Tsuga,canadensis,261,0.38,0.46,111.00,99.00,0.4,17
Carolina hemlock,Tsuga,caroliniana,262,0.41,0.46,78.00,98.00,0.43,16.2
Western hemlock,Tsuga,heterophylla,263,0.42,0.5,56.00,102.00,0.45,15.8
Mountain hemlock,Tsuga,mertensiana,264,0.42,0.41,68.00,92.00,0.45,15.8
Unknown dead conifer,Tree,evergreen,299,0.41,0.42,74.00,71.00,0.44,14.3
Acacia spp.,Acacia,spp.,300,0.52,0.53,75.00,80.00,0.58,15.2
