Master Species List (MSL),Islands Only Species (IOS) - Not valid on the Mainland,Mainland NFS P2/3 Sub-lists - Not valid on P2/3 plots within a specific NFS Region,Woodland,FIA Code,Common Name,Genus,Species,VARIETY,SUBSPECIES,PLANTS Code,Past NRS Tally,Past PNW Tally,Past RMRS Tally,Past SRS Tally,Caribbean,Pacific,Urban,Historic  P2
MSL,.,.,.,11,Pacific silver fir,Abies,amabilis,.,.,ABAM,"R, U","PNWS, AK, U","R, U",U,.,.,.,P2
MSL,.,.,.,12,balsam fir,Abies,balsamea,.,.,ABBA,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,14,Santa Lucia or bristlecone fir,Abies,bracteata,.,.,ABBR,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,15,white fir,Abies,concolor,.,.,ABCO,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,16,Fraser fir,Abies,fraseri,.,.,ABFR,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,17,grand fir,Abies,grandis,.,.,ABGR,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,18,corkbark fir,Abies,lasiocarpa,arizonica,.,ABLAA,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,19,subalpine fir,Abies,lasiocarpa,.,.,ABLA,"R, U","PNWS, AK, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,20,California red fir,Abies,magnifica,.,.,ABMA,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,22,noble fir,Abies,procera,.,.,ABPR,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,21,Shasta red fir,Abies,shastensis,.,.,ABSH,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,6001,blackbrush wattle,Acacia,anegadensis,.,.,ACAN4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6002,mulga,Acacia,aneura,.,.,ACAN10,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6003,auri,Acacia,auriculiformis,.,.,ACAU,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6004,small Philippine acacia,Acacia,confusa,.,.,ACCO,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6016,silver wattle,Acacia,dealbata,.,.,ACDE3,U,U,U,U,.,.,U,.
MSL,.,.,.,6017,green wattle,Acacia,decurrens,.,.,ACDE,U,U,U,U,.,.,U,.
MSL,.,3,w,303,sweet acacia,Acacia,farnesiana,.,.,ACFA,"R, U","P, U",U,"R, C, U",C,P,.,P2
MSL,.,.,.,6006,koa,Acacia,koa,.,.,ACKO,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6007,koaoha,Acacia,koaia,.,.,ACKO2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6019,Sydney golden wattle,Acacia,longifolia,.,.,ACLO,U,U,U,U,.,.,U,.
MSL,.,.,.,6008,porknut,Acacia,macracantha,.,.,ACMA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6009,black wattle,Acacia,mangium,.,.,ACMA12,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6010,black wattle,Acacia,mearnsii,.,.,ACME80,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6011,blackwood,Acacia,melanoxylon,.,.,ACME,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6012,spineless wattle,Acacia,muricata,.,.,ACMU,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6013,gum arabic tree,Acacia,nilotica,.,.,ACNI2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6014,South Wales wattle,Acacia,parramattensis,.,.,ACPA81,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6015,Acacia polyacantha,Acacia,polyacantha,.,.,ACPO3,U,U,U,"C, U",C,.,.,.
MSL,IOS,.,.,300,acacia spp.,Acacia,spp.,.,.,ACACI,"R, U","P, U",U,"C, U",C,P,.,P2
MSL,.,.,.,6018,poponax,Acacia,tortuosa,.,.,ACTO,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6020,prickly Moses,Acacia,verticillata,.,.,ACVE2,U,U,U,U,.,.,U,.
MSL,.,.,.,311,Florida maple,Acer,barbatum,.,.,ACBA3,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,5145,hedge maple,Acer,campestre,.,.,ACCA5,U,U,U,U,.,.,U,.
MSL,.,"5,6,10",.,5146,vine maple,Acer,circinatum,.,.,ACCI,U,U,U,U,.,.,U,.
MSL,.,.,.,5147,Amur maple,Acer,ginnala,.,.,ACGI,U,U,U,U,.,.,U,.
MSL,.,.,w,322,bigtooth maple,Acer,grandidentatum,.,.,ACGR3,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,5148,paperbark maple,Acer,griseum,.,.,ACGR14,U,U,U,U,.,.,U,.
MSL,.,.,.,323,chalk maple,Acer,leucoderme,.,.,ACLE,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,312,bigleaf maple,Acer,macrophyllum,.,.,ACMA3,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,5155,Miyabe maple,Acer,miyabei,.,.,ACMI7,U,U,U,U,.,.,U,.
MSL,.,.,.,5149,Painted maple,Acer,mono,.,.,ACMO10,U,U,U,U,.,.,U,.
MSL,.,.,.,313,boxelder,Acer,negundo,.,.,ACNE2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,314,black maple,Acer,nigrum,.,.,ACNI5,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,5150,Japanese maple,Acer,palmatum,.,.,ACPA2,U,U,U,U,.,.,U,.
MSL,.,.,.,315,striped maple,Acer,pensylvanicum,.,.,ACPE,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,320,Norway maple,Acer,platanoides,.,.,ACPL,"R, U","PNWS, U",U,"R, U",.,.,.,P2
MSL,.,.,.,5157,Norway maple x shantung maple,Acer,platanoides x truncatum,.,.,ACPL2,U,U,U,U,.,.,U,.
MSL,.,.,.,5151,sycamore maple,Acer,pseudoplatanus,.,.,ACPS,U,U,U,U,.,.,U,.
MSL,.,.,.,316,red maple,Acer,rubrum,.,.,ACRU,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,317,silver maple,Acer,saccharinum,.,.,ACSA2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,318,sugar maple,Acer,saccharum,.,.,ACSA3,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
