"taxonID","individualID","plotID","siteID","domainID","date","plantStatus","growthForm","canopyPosition","measurementHeight","height","stemDiameter","scientificName","stemDistance","stemAzimuth","year","drc","FIA.Code","jenkins_model","Scientific.Name.with.Author","Common.Name","Family","habit","Genus","Species","Adj.Factor","model_name","betaZero","betaOne","chojnacky","Species.Group","Group","MedianSpecGrav","beta0","beta1","AGBJenkins","AGBChojnacky"
"ABLAL","NEON.PLA.D13.NIWO.00698","NIWO_064","NIWO","D13",2015-08-07,"Live","sapling","Open grown",10,NA,2,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2015",0.370500684536093,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,0.265781276476025,0.236385745717288
"ABLAL","NEON.PLA.D13.NIWO.00350","NIWO_067","NIWO","D13",2016-09-28,"Live","sapling",NA,NA,1.2,NA,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2016",NA,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,NA,NA
"ABLAL","NEON.PLA.D13.NIWO.00704","NIWO_064","NIWO","D13",2015-08-07,"Live","sapling","Full shade",10,NA,2.4,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2015",0.560098694661694,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,0.422401565837985,0.368956604368283
"ABLAL","NEON.PLA.D13.NIWO.00524","NIWO_040","NIWO","D13",2015-07-30,"Live","sapling","Full shade",10,NA,2.7,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2015",0.682582451271124,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,0.569777252100382,0.491909812152939
"ABLAL","NEON.PLA.D13.NIWO.00335","NIWO_067","NIWO","D13",2016-09-28,"Live","small tree",NA,130,2.4,7.4,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2016",NA,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,14.2993828717571,10.8870644468147
"ABLAL","NEON.PLA.D13.NIWO.00331","NIWO_067","NIWO","D13",2015-07-20,"Live","small tree","Partially shaded",130,NA,4.3,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2015",NA,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,3.79515710531721,3.04292674183804
"ABLAL","NEON.PLA.D13.NIWO.00384C","NIWO_057","NIWO","D13",2016-09-22,"Live, insect damaged","multi-bole tree",NA,130,7.8,12.8,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",3.7,290,"2016",NA,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,54.5528128274887,39.4213343360838
"ABLAL","NEON.PLA.D13.NIWO.00522","NIWO_040","NIWO","D13",2016-09-21,"Standing dead","sapling",NA,NA,0.6,NA,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2016",NA,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,NA,NA
"ABLAL","NEON.PLA.D13.NIWO.00349","NIWO_067","NIWO","D13",2016-09-28,"Live","sapling",NA,NA,0.8,NA,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2016",NA,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,NA,NA
"ABLAL","NEON.PLA.D13.NIWO.00521","NIWO_040","NIWO","D13",2015-07-30,"Standing dead","sapling","Full shade",10,NA,2.4,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",NA,NA,"2015",0.560098694661694,NA,"douglas","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","tree",NA,NA,0.84,"sw3",-2.2304,2.4435,"AbiesBelow0.35spg","conifer","Conifer",0.33,-2.3123,2.3482,0.422401565837985,0.368956604368283
